logo,database_names,reason
Aerospace Holding,Aerospace Holding,"Identity unclear. No UAE company trading as 'Aerospace Holding (Company)' could be confirmed. Candidates: Dubai Aerospace Enterprise (already in the library as dubai-aerospace-enterprise.png), Mubadala Aerospace, Abu Dhabi Aviation."
Al Ain Holding,Al Ain Holding,"The only logo on the official site is an all-white SVG wordmark, and the helper refused it; the og:image is a white 'A' on black, not a clean logo. There is no Wikimedia logo. Identity is fairly confident: the site's Salesforce subdomain is alainholding. The batch lists the sector as manufacturing but this is a real-estate and asset-management group."
Bost (Ghana),Bost (Ghana),"The Wikipedia article (BOST Energies) has no logo. The official site bost.com.gh does not resolve (DNS failure, proxy 502), so its corporate-identity page could not be reached."
Central Arriyadh Development Company (CADC),Central Arriyadh Development Company (CADC); Riyadh Central Ar Development Company (CADC),"Identity unclear: no official site or logo could be found. Candidates are a PIF-backed firm listed at Al-Nakheel, Riyadh, the listed Arriyadh Development Co (ARDCO) and Riyadh Development Company (riyadh.dev)."
ERCA,ERCA,"Identity unclear: no Saudi body is called ERCA. The most likely candidate is ECRA (Electricity and Cogeneration Regulatory Authority, now SERA/WERA), but it could also be a garbled acronym for another Saudi authority."
GRS,GRS,"Identity unclear: 'GRS' in the UK could be several firms (for example GRS Group, GRS Roadstone, Global Resources Services or Geo Risk Services), and nothing in the record says which one."
Maitland Central Services,Maitland Central Services,"Identity unclear. The likely candidate is Maitland Group, but its site does not list an Isle of Man office, so it is unclear which brand the Isle of Man entity uses today. maitlandgroup.com also fails TLS/connection, and there is no Wikipedia logo."
MediaQuest,MediaQuest,"Identity unclear. The candidates are Mediaquest Corporation (Dubai publisher, on Wikipedia) and Media Quest Group / MQuest (Dubai digital media company). Also, the Wikipedia logo is only 378px, mediaquest.ae is an under-construction page, and mediaquestcorp.com returns 403."
Mercator,Mercator,"Identity unclear: several UAE firms trade as Mercator, including Mercator Solutions FZE (Accelya Group, airline software), Mercator General Trading (mercator-gt.com), Mercator Shipping and Logistics (mercator-ship.com) and a Dubai investment firm called Mercator."
NCAS,NCAS,"Identity unclear: NCAS could be the National Clinical Assessment Service (NHS, now Practitioner Performance Advice) or the National Centre for Atmospheric Science, among others."
Oman National Security Service Group (NSSG),Oman National Security Service Group (NSSG),"There is no Wikipedia or Commons logo, and no official Oman NSSG website could be found (nssg.om does not resolve). nssg.global is a different, Italian-run business. If the note 'Oman security body' means a government service rather than this company, the identity is also unclear."
PCNI,PCNI,"pcni.gov.ng does not resolve and there is no Wikipedia or Commons logo. The identity is also a best match only, since the note says the name is unclear."
Tamkeen Abu Dhabi,Tamkeen Abu Dhabi,"Identity unclear. The candidates are Tamkeen, the Abu Dhabi government body that funds NYU Abu Dhabi research, and other Abu Dhabi programmes named Tamkeen (for example ones for people of determination), plus Bahrain's Tamkeen labour fund. The note itself says it is unclear which one this is."
