target,status,file,display_name,organisation_identified,channel,source_url,enlarged,white_on_colour,reason
Al Fakher Tobacco Factory,done,al-fakher.png,Al Fakher,"Al Fakher Tobacco Factory (Al Fakher), UAE",official-site,https://images.squarespace-cdn.com/content/v1/66b4885f1e86da03215efed0/d697e610-2cf8-40fe-86a0-7438326dcdeb/AlFakher_logo.png,False,True,"The logo only exists in white, so it sits on #9e302e, the red header behind the logo on alfakher.com (colour sampled from its og:image)."
Al Jalila Children's Speciality Hospital,failed,,Al Jalila Children's Speciality Hospital,"Al Jalila Children's Speciality Hospital (Dubai Health), UAE",,,False,False,"The English and Arabic Wikipedia pages have no logo, and Commons has none. aljalilachildrens.ae and dubaihealth.ae still fail to connect through the proxy."
Al Marjan Island,done,marjan.png,Marjan,"Marjan, master developer of Al Marjan Island, Ras Al Khaimah, UAE",official-site,https://marjan.ae/hubfs/site-logo-1.png,True,False,"Used the navy bilingual logo (257x101), enlarged, instead of the white SVG. The unconfirmed Commons file 'AL MARJAN Logo.jpg' was not used."
Al Tayer Group,done,al-tayer-group.png,Al Tayer Group,"Al Tayer Group, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/en/0/01/Al_Tayer_Group_logo.png,True,False,Enlarged from the 351x62 Wikipedia logo. The bilingual lockup is kept.
Al Watania for Industries,failed,,Al Watania for Industries,"Al Watania for Industries, Saudi Arabia",,,False,False,"Commons has no logo, and wataniaind.com (the confirmed official site) still times out through the proxy on every attempt."
Ali Bin Ali Group,failed,,Ali Bin Ali Group,"Ali Bin Ali Group, Qatar",,,False,False,The Wikipedia page has no logo and Commons has none. alibinali.com still returns a SiteGround captcha to every request.
Alsayer Group,done,alsayer-group.png,Alsayer Group,"Alsayer Group (Alsayer Holding), Kuwait",official-site,https://www.alsayergroup.com/wp-content/uploads/2025/02/Without-Bg-SVG-Red-1-1.svg,False,False,"Red roundel SVG, used as the header logo on the scrolled page. alsayergroup.com could be reached this time."
American Hospital Dubai,failed,,American Hospital Dubai,"American Hospital Dubai, UAE",,,False,False,The Wikipedia page has no logo and Commons has none. ahdubai.com still returns a Cloudflare 403.
Arab Petroleum Investments Corporation (APICORP),done,the-arab-energy-fund.png,The Arab Energy Fund,"The Arab Energy Fund (TAEF), formerly Arab Petroleum Investments Corporation (APICORP), Saudi Arabia",official-site,https://taef.com/wp-content/uploads/logo.svg,False,True,"APICORP renamed itself The Arab Energy Fund (confirmed on taef.com). The bilingual logo only exists in white with a gradient symbol, so it sits on #3e0937, the purple from the brand's og:image. The Commons 'TAEF logo.png' is a different organisation (Taiwan-Asia Exchange Foundation)."
Argaam,done,argaam.png,Argaam,"Argaam Investment Company, Saudi Arabia",official-site,https://www.argaam.com/content/ar/images/argaam-logo.png,True,False,"The Commons Argaam.png is cropped at the bottom and has a stray grey mark on the left, so I used the clean 122x56 site header logo and enlarged it."
Association of University Directors of Estates (AUDE),done,aude.png,AUDE,"Association of University Directors of Estates (AUDE), United Kingdom",official-site,https://www.aude.ac.uk/images/logo-new.jpg,True,False,"Enlarged from the 300x150 header logo (white text on a magenta-to-purple gradient block, with the strapline)."
Sharjah BEEAH,done,beeah.png,BEEAH,"BEEAH Group, Sharjah, UAE",official-site,https://www.beeahgroup.com/,False,True,"Taken from the inline SVG in the site header: white 'BEEAH' with the blue B symbol. It sits on #111821, the colour BEEAH's own header uses behind the logo."
BOC,done,boc.png,BOC,"BOC Limited (a Linde company), United Kingdom",official-site,https://static.prd.echannel.linde.com/wcsstore/AU_BOC_Industrial_Store/Assets/BOC_logo.png,True,False,"Red-stripe BOC logo with the line 'A Member of The Linde Group'. It comes from the BOC Australia site (boc.com.au), whose files sit on Linde's server. The UK site builds its logo in JavaScript. The line may be an older one; today's UK mark may say 'A Linde company' instead. The file is 228x69, so it was enlarged."
Bahrain Economic Development Board (EDB),failed,,Bahrain EDB,"Bahrain Economic Development Board, Bahrain",,,False,False,"Wikimedia and Wikipedia APIs answered 429 on every retry, and the first run found no logo there. bahrainedb.com still returns only an AWS WAF challenge (202/405)."
Bahrain GHQ Defense Force,done,bahrain-defence-force.png,Bahrain Defence Force,"Bahrain Defence Force (General Command), Kingdom of Bahrain",official-site,https://static.wixstatic.com/media/29ff6d_52c2bd0dc2884a39b6d838205d27f1b1~mv2.png,True,False,"The BDF emblem with the Arabic name, from bdf.bh. The file is 392x360, so it was enlarged."
Bahrain National Holding,done,bahrain-national-holding.png,Bahrain National Holding,"Bahrain National Holding B.S.C. (BNH), Bahrain",official-site,https://www.bnh.bh/wp-content/uploads/2025/06/BNH-Logo-2@300x-1.png,True,False,"The BNH lockup from the site header. The file is 176x70, so it was heavily enlarged."
Botswana Public Officers Pension Fund,done,botswana-public-officers-pension-fund.png,Botswana Public Officers Pension Fund,"Botswana Public Officers Pension Fund (BPOPF), Botswana",official-site,https://www.bpopf.co.bw/imgs/main.png,False,False,"The full stacked logo (symbol, name and the line 'Driving Member Value'), found at 2141x3795 in the site's image folder. No enlarging was needed."
British College of Osteopathic Medicine,done,british-college-of-osteopathic-medicine.png,British College of Osteopathic Medicine,"British College of Osteopathic Medicine (BCOM, part of BCNO Group), London, United Kingdom",official-site,https://www.bcom.ac.uk/wp-content/uploads/2023/03/bcom-logo-white.png,False,True,"Only a white logo exists. It is placed on BCOM green #04744e, the header and background colour in the site CSS."
Asthma + Lung UK,done,asthma-and-lung-uk.png,Asthma and Lung UK,"Asthma + Lung UK (successor to British Lung Foundation), United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/d/db/Asthma_%2B_Lung_UK_logo.png,True,False,"The stacked logo from Wikipedia. The file is 320x304, so it was enlarged."
Bureau International des Expositions (BIE),done,bureau-international-des-expositions.png,Bureau International des Expositions,"Bureau International des Expositions (BIE), Paris, France",official-site,https://www.bie-paris.org/site/images/bie-logo.png,True,False,"The symbol-and-name lockup from the site header. The file is 183x50, so it was heavily enlarged and may look soft."
Capital Club,done,capital-club-dubai.png,Capital Club Dubai,"Capital Club Dubai (business club in DIFC, UAE)",official-site,https://capitalclubdubai.com/wp-content/uploads/2021/04/CC_Logo-white-01small-01-e1619435899850-2048x606.png,False,True,"Only a white logo exists on its own. It is placed on the brand navy #123a5a, which the site uses for headings and which matches the navy in its og:image."
Capital Markets Authority Kenya,done,capital-markets-authority-kenya.png,Capital Markets Authority Kenya,"Capital Markets Authority (CMA), Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/CMA_Logo.png/250px-CMA_Logo.png,True,False,"The stacked lockup with the tagline, from Commons. The original file is 234x215 and the download was a thumbnail, so it was enlarged."
Central Bank of Kenya,done,central-bank-of-kenya.png,Central Bank of Kenya,"Central Bank of Kenya, Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/en/b/b5/Central_Bank_of_Kenya_logo.png,True,False,"The crest logo from Wikipedia. The file is 354x281, so it was enlarged."
Central Bank of Oman,done,central-bank-of-oman.png,Central Bank of Oman,"Central Bank of Oman, Oman",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Central_Bank_of_Oman_logo.png/250px-Central_Bank_of_Oman_logo.png,True,False,"The bilingual roundel from Commons. The original file is 182x183 and the download was a thumbnail, so it was heavily enlarged."
Chalhoub Group,done,chalhoub-group.png,Chalhoub Group,"Chalhoub Group (Dubai, UAE)",official-site,https://www.chalhoubgroup.com/Content/images/logo.png,True,False,"The navy lockup: tughra, 'CHALHOUB GROUP' and 'SINCE 1955'. The file is 323x298, so it was enlarged. The bilingual wordmark exists only in white, so it was not used."
Concorde El Salam Hotels,failed,,Concorde El Salam Hotels,"Concorde El Salam Hotels, Egypt",,,False,False,"There is no Wikipedia or Commons logo, the Wikimedia API was rate-limited, and the proxy refused the official hotel domains (concorde-hotels.com, concordeelsalam.com)."
DMG Events,done,dmg-events.png,dmg events,"dmg events (DMG Events Ltd), Dubai, UAE",official-site,https://www.dmgevents.com/media/1119/dmg-events.svg,False,True,"Only a white logo with green dots exists, as an SVG. The site shows no clear brand background colour, so the default 1f2a30 was used."
Centrient,done,centrient.png,Centrient Pharmaceuticals,"Centrient Pharmaceuticals (formerly DSM Sinochem Pharmaceuticals), Netherlands",official-site,https://centrient.com/assets/images/logo.png,True,False,"The colour logo from the site header. The file is 168x100, so it was heavily enlarged."
Dubai Silicon Oasis,done,dubai-silicon-oasis.png,Dubai Silicon Oasis,"Dubai Silicon Oasis (Dubai Integrated Economic Zones), UAE",official-site,https://www.dso.ae/documents/d/dubai-silicon-oasis/logo-svg?download=true,False,True,"The bilingual SVG exists only in white. It is placed on #194176, the colour the site CSS names --primary-dso-blue."
DUCAB,failed,,Ducab,"Ducab (Dubai Cable Company), UAE",,https://ducab.com/wp-content/themes/ducab/assets/images/d-logo.svg,False,False,"The header logo URL was found, but Cloudflare returns 403 on every attempt to download it, with any user agent. The Wikimedia API was rate-limited throughout, and the first run found no Wikipedia page."
Daleel Petroleum,done,daleel-petroleum.png,Daleel Petroleum,"Daleel Petroleum LLC, Oman",official-site,https://daleelpetroleum.com/site/images/logo/logo-color.png,True,False,"The bilingual colour logo. The file is only 130x31, so it was enlarged about sixfold and will look soft. No larger version exists on the site."
Damas,done,damas.png,Damas,"Damas Jewellery (Damas LLC), Dubai, UAE",official-site,https://www.damasjewellery.com/images/logo.png,True,False,"The black wordmark from the site header. The file is 340x81, so it was enlarged."
Dana Gas,done,dana-gas.png,Dana Gas,"Dana Gas PJSC, Sharjah, UAE",official-site,https://www.danagas.com/storage/2023/06/dana-gas-logo.png,True,False,"The stacked bilingual header logo. The bot challenge covers the site's pages but not its image files. The file is 168x172, so it was heavily enlarged."
Debra,done,debra.png,DEBRA,"DEBRA UK (butterfly skin charity), United Kingdom",official-site,https://www.debra.org.uk/wp-content/uploads/2024/04/debra-logo_353x120.png,True,False,"The full logo with the line 'The Butterfly Skin Charity'. The file is 353x120, so it was enlarged."
Decision Support Centre (DSC),failed,,Decision Support Center,"Decision Support Center (Royal Court), Saudi Arabia",,https://www.dsc.gov.sa/en/,False,False,"dsc.gov.sa is still unreachable (the proxy tunnel closes and the connection times out), and the Wikimedia API was rate-limited, with no Commons logo found before."
Delta Partners,failed,,Delta Partners,"Delta Partners (TMT advisory firm, Dubai, UAE; acquired by FTI Consulting in 2021)",,https://www.deltapartnersgroup.com/,False,False,"The domain still redirects to fticonsulting.com, so no official copy of the last logo is online, and Wikimedia was rate-limited, with no logo found before."
Diamond Light Source,done,diamond-light-source.png,Diamond Light Source,"Diamond Light Source Ltd, UK national synchrotron facility (Harwell, United Kingdom)",wikimedia,https://upload.wikimedia.org/wikipedia/en/b/ba/DiamondLogo.png,True,False,"The 'diamond' star wordmark from Wikipedia. The file is 300x85, so it was enlarged. Cloudflare blocks the official site, so I could not confirm this matches the 2019 site logo."
Dolphin Energy,done,dolphin-energy.png,Dolphin Energy,"Dolphin Energy Limited, Abu Dhabi, UAE",official-site,https://www.dolphinenergy.com/logo-dolphin.png,True,False,"The bilingual colour logo from the site. The file is 339x216, so it was enlarged."
Dubai Air Navigation Services (DANS),failed,,Dubai Air Navigation Services,"Dubai Air Navigation Services (dans), Government of Dubai, UAE",,,False,False,"Wikimedia has no DANS logo (no Wikipedia page in English or Arabic, and the Commons searches found nothing), and dans.gov.ae still refuses every connection from here, including through WebFetch. The only copies are on third-party sites."
Dubai Community Development Authority,done,dubai-community-development-authority.png,Dubai Community Development Authority,"Community Development Authority (CDA), Government of Dubai, UAE",official-site,https://www.cda.gov.ae/assets/header/authority-logo-color.png,True,False,"Bilingual colour lockup, only 292x58, so it was upscaled and is a little soft."
Dubai Department of Economy and Tourism,failed,,Dubai Department of Economy and Tourism,"Dubai Department of Economy and Tourism (DET), UAE, the successor of DED and DTCM",,,False,False,"Wikimedia has no DET logo. WebFetch found the logo at dubaidet.gov.ae/en/-/media/common/logos/revised/dubai-det-flag-logo.svg, but Akamai returns 403 to every direct download, and WebFetch will not return image content."
Dubai Executive Council,failed,,The Executive Council of Dubai,"The Executive Council of Dubai, Government of Dubai, UAE",,,False,False,"The Arabic Wikipedia page has no logo and Commons has nothing. tec.gov.ae times out or returns 503 to curl and WebFetch. It has its own mark, so the coat-of-arms fallback does not apply."
Dubai Financial Services Authority (DFSA),done,dfsa.png,Dubai Financial Services Authority,"Dubai Financial Services Authority (DFSA), UAE",official-site,https://www.dfsa.ae/application/themes/dfsa/dist/images/logo.png,True,False,"The only colour file is 160x100, so it was heavily upscaled and is soft but legible."
Dubai Holding,done,dubai-holding.png,Dubai Holding,"Dubai Holding LLC, Dubai, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/AW_DH_PV_POS_RGB_EN_%28002%29.png/960px-AW_DH_PV_POS_RGB_EN_%28002%29.png,True,False,"This is the colour English logo from Wikipedia. Wikimedia's 960px thumbnail enlarges a roughly 520px original, so it is marked as enlarged even though the helper did not upscale it."
Dubai Petroleum Establishment,done,dubai-petroleum.png,Dubai Petroleum,"Dubai Petroleum Establishment, Dubai, UAE",official-site,https://www.dubaipetroleum.ae/app/themes/sage-8.5.1/dist/images/header-logo.jpg,True,False,"Full-colour bilingual lockup at 274x75, upscaled."
Dubai SME,failed,,Dubai SME,"Dubai SME (Mohammed bin Rashid Establishment for SME Development), Dubai, UAE",,,False,False,"Wikimedia has no file. sme.ae now redirects to dubaifoundershq.com, whose Dubai SME logo (dubai-sme-v1.png) returns Akamai 403 to direct downloads."
EMPOWER,done,empower.png,Empower,"Emirates Central Cooling Systems Corporation (Empower), Dubai, UAE",official-site,https://www.empower.ae/images/logo-new.png,True,True,"The only logo is 123x89 with a white wordmark, so it was upscaled a lot and looks soft. The site has no clear colour behind the logo, so the default 1f2a30 background was used."
Electricity Company of Ghana,done,electricity-company-of-ghana.png,Electricity Company of Ghana,"Electricity Company of Ghana Limited (ECG), Ghana",official-site,https://www.ecg.com.gh/images/site/ecg_logo.png,False,True,"The full lockup's name is white only, so it sits on ECG's own blue 2e3192, taken from the emblem box in its logo."
Ethara,exists,ethara.png,Ethara,"Ethara, Abu Dhabi, UAE (events and venue management)",official-site,https://www.ethara.com/documents/d/ethara/footer-logo,False,True,"out/logos/ethara.png was built at 08:31 today, before this run reached this group. It is the same organisation's bilingual white wordmark on dark 1e1e1e, which is what this run would have made. It is not yet in manifest-final.csv."
Eurofighter,done,eurofighter.png,Eurofighter,"Eurofighter Jagdflugzeug GmbH, Hallbergmoos, Germany",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Eurofighter_logo.jpg/500px-Eurofighter_logo.jpg,False,False,"Caveat: this is the 'Eurofighter Typhoon' swirl lockup from Commons, the programme brand the company uses. I could not check it against the current eurofighter.com header, which sits behind a Cloudflare challenge."
European Centre for Development Policy Management,done,ecdpm.png,ECDPM,"European Centre for Development Policy Management (ECDPM), Maastricht, Netherlands",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/ECDPM-Logo-240x240.png/250px-ECDPM-Logo-240x240.png,True,False,"Square logo (white 'ecdpm' in a blue box) from Commons, 240px original, upscaled."
European Petrochemical Association (EPCA),done,epca.png,EPCA,"European Petrochemical Association (EPCA), Brussels, Belgium",official-site,https://epca.eu/sites/epca.eu/files/basic-pages/logo-epca-blue.png,True,False,Used the colour version (200x60) rather than the white SVG. It was upscaled and is soft.
European Regions Research and Innovation Network (ERRIN),failed,,ERRIN,"European Regions Research and Innovation Network (ERRIN), Brussels, Belgium",,,False,False,"Wikimedia has no page or file. errin.eu returns a Cloudflare 403 for pages and assets, and WebFetch found no logo URLs."
F&E Aerospace,failed,,F&E Aerospace,"F&E Aerospace, Dubai, UAE (aircraft interiors)",,,False,False,"feaerospace.com now redirects to geaerospace.com, feaerospace.ae is unreachable, and Wikimedia has no file, so no official current logo could be sourced."
Falcon and Associates,done,falcon-and-associates.png,Falcon and Associates,"Falcon and Associates, Dubai, UAE (falconandassociates.ae)",official-site,https://www.falconandassociates.ae/assets/img/logos/falcon-logo.png,True,True,"The site was reached with full TLS verification by adding its missing GoDaddy G2 intermediate certificate. The logo exists only in white (224x131). The site only puts a translucent black nav behind it, so the default 1f2a30 was used, and it was upscaled."
Famfa Oil,done,famfa-oil.png,Famfa Oil,"Famfa Oil Limited, Lagos, Nigeria",official-site,https://www.famfa.com/wp-content/uploads/2023/11/famfa-web-logo.png,True,True,Stacked lockup with the drop in colour and the name in white (308x229). It sits on the site's own header colour 1f2221 and was upscaled.
"Farouk, Maamoun Mohammed Said Tamer Industries Holding",done,tamer-group.png,Tamer Group,"Farouk, Maamoun Tamer and Co (Tamer Group), Jeddah, Saudi Arabia",official-site,https://tamergroup.com/,False,False,"Caveat: the header SVG was saved from tamergroup.com in yesterday's attempt; the site is now behind Incapsula. Its wordmark has no colour of its own and takes the site's CSS 'fill-dark' class, which could not be read. The class was filled black, which matches the black wordmark in the rebrand photography."
Federal University of Technology Akure,failed,,Federal University of Technology Akure,"Federal University of Technology, Akure (FUTA), Nigeria",,,False,False,"Commons has only campus photos, no logo. futa.edu.ng and its subdomains return a Cloudflare 403, and WebFetch found no logo image URLs."
First Bank of Nigeria,done,firstbank-nigeria.png,FirstBank,"First Bank of Nigeria Limited, Lagos, Nigeria",official-site,https://firstbankgroup.com/ng/wp-content/uploads/2020/01/First-Bank.svg,False,False,Vector lockup. The site was reached with full TLS verification by adding its missing Sectigo intermediate certificate.
GARMCO,done,garmco.png,GARMCO,"Gulf Aluminium Rolling Mill B.S.C. (GARMCO), Bahrain",official-site,https://www.garmco.com/images/Garmco-blue-mobile.PNG,True,False,"Blue bilingual stacked lockup (224x300), upscaled."
Ghana Chamber of Mines,done,ghana-chamber-of-mines.png,Ghana Chamber of Mines,"The Ghana Chamber of Mines, Accra, Ghana",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Ghana_Chamber_of_Mines_logo.gif/330px-Ghana_Chamber_of_Mines_logo.gif,True,False,"The original is only a 202x110 GIF, so the enlarged result is low quality, though legible. The small text around the emblem is blurry."
Ghana Energy Commission,done,ghana-energy-commission.png,Energy Commission Ghana,"Energy Commission, Ghana",official-site,https://www.energycom.gov.gh/images/themexpert/logo-black.png,True,False,"Header lockup, 303x75, upscaled."
Ghana Public Utilities Regulatory Commission,done,ghana-purc.png,Public Utilities Regulatory Commission,"Public Utilities Regulatory Commission (PURC), Ghana",official-site,https://www.purc.com.gh/assets/images/504764-20231106101136.png,True,False,"Circular emblem with the full name, about 389x351 after trimming, upscaled slightly."
Global Geophysical Services,done,global-geophysical-services.png,Global Geophysical Services,"Global Geophysical Services, Inc. (seismic data acquisition)",official-site,https://static.wixstatic.com/media/9a0f1b_ef5319fa5d8b4eab8260a449eb8848e3~mv2.jpg,True,False,"The 360x360 original of the site header logo, from the Wix media store. Upscaled."
Group Five,done,group-five.png,Group Five,"Group Five Limited (construction and engineering group, in business rescue), South Africa",official-site,http://www.g5.co.za/images/Group-Five-logo.png,True,False,"The company's current site is g5.co.za, not the dead groupfive.co.za. Its only logo file is 238x56, so the tile is enlarged and slightly soft."
Gulf Medical Company,done,gulf-medical.png,Gulf Medical,"Gulf Medical Co. Ltd, Jeddah, Saudi Arabia",official-site,https://www.gulfmedical.com/uploads/upload1659443229969.jpg,True,False,"Bilingual header logo from the site's CMS, 388x105, built with --upscale. No larger file or SVG exists."
GulfDrug,done,gulfdrug.png,GulfDrug,"GulfDrug LLC (pharmaceutical distributor), UAE",official-site,https://www.gulfdrug.com//public/storage/site-setting/header/17095460701.png,True,False,"Used the header lockup (169x94, enlarged), which includes the 'Making life better' tagline. I did not use the larger footer file because its wordmark is white and only the leaf symbol shows on white. The tile is soft."
IMO,done,international-maritime-organization.png,International Maritime Organization,"International Maritime Organization (IMO), London (UN specialised agency)",official-site,https://www.imo.org/Content/images/img/English_Colour_RGB_Horizontal.png,False,False,"Will confirmed the identity. The Wikipedia article has no logo. Commons has 'Logo International Maritime Organization (2025).png' at only 960px, and I found it after building from imo.org. I used imo.org's 3759px colour horizontal logo instead, which is the same current mark."
INTERREG IVC,failed,,INTERREG IVC,"INTERREG IVC interregional cooperation programme 2007-2013 (EU), Lille, France",,,False,False,"Neither channel has the IVC logo. Commons has no file, interreg4c.eu no longer responds, and successor Interreg Europe does not host the old mark. Only a third-party aggregator has it."
Idama Facilities Management Solutions,failed,,Idama,"Idama Facilities Management Solutions, Abu Dhabi, UAE (part of Ejadah)",,,False,False,"idama.ae still redirects to ejadah.com, which shows only the Ejadah logo, and Wikimedia has no Idama logo. I can build the parent Ejadah logo if Will wants it."
Injazat,failed,,Injazat,"Injazat Data Systems, Abu Dhabi, UAE (merged into Core42 / G42)",,,False,False,"Wikimedia has no Injazat page or file, and injazat.com redirects to core42.ai, which no longer shows Injazat's last logo. I can build the Core42 logo if Will wants it."
INTAN,done,intan-malaysia.png,INTAN,"Institut Tadbiran Awam Negara (INTAN, National Institute of Public Administration), Malaysia",wikimedia,https://upload.wikimedia.org/wikipedia/en/c/cc/Logo_of_National_Institute_of_Public_Administration.jpg,True,False,"The INTAN crest, 161x243, enlarged. The site header is a portal banner with the national coat of arms, not INTAN's own mark. The tile is soft."
International Development Law Organization,done,idlo.png,IDLO,"International Development Law Organization (IDLO), Rome",official-site,https://www.idlo.int/sites/default/files/idlo-logo-blue6.png,True,True,"IDLO's logo exists only as white on its blue panel, so I built it with --bg 006695, the panel colour, and upscaled it from 227x100. It includes the tagline 'Creating a Culture of Justice'."
Invest AD,failed,,Invest AD,"Invest AD - Abu Dhabi Investment Company, UAE",,,False,False,"Wikimedia has no page or file, and investad.com still resets every connection, including with a browser user agent and over HTTP/1.1."
Ireland Department of Justice,done,ireland-department-of-justice.png,"Department of Justice, Home Affairs and Migration","Department of Justice, Home Affairs and Migration (formerly Department of Justice), Ireland",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Irish_Department_of_Justice%2C_Home_Affairs_and_Migration_logo.png/1280px-Irish_Department_of_Justice%2C_Home_Affairs_and_Migration_logo.png,True,False,"This is the department's current bilingual mark after its 2025 rename. The Commons original is 254x100, so Wikimedia's 1280px thumbnail is an enlargement and slightly soft. gov.ie does not show the department logo."
Jeddah Airport Company (JEDCO),failed,,Jeddah Airports,"Jeddah Airports Company (JEDCO), operator of King Abdulaziz International Airport, Saudi Arabia",,,False,False,"Commons has no Jeddah Airports Company logo, and kaia.sa still returns Cloudflare 403 with a browser user agent. The King Abdulaziz International Airport logo on Wikipedia could be used if Will accepts it."
Jordan River Foundation,done,jordan-river-foundation.png,Jordan River Foundation,"Jordan River Foundation, Amman, Jordan",wikimedia,https://upload.wikimedia.org/wikipedia/en/4/44/Jordan_River_Foundation_logo.jpg,True,False,"Bilingual logo on its navy panel, 280x123, enlarged. This file is larger than the 192x155 site header logo. The tile is soft."
