match_name,decision,note
Al Ansari Advantage,no logo: individual or small local firm,
Al Arabi Travel Agency,no logo: individual or small local firm,
Al Fahim,source,
Al Fakher Tobacco Factory,source,
Al Hamar Gulf Est,no logo: individual or small local firm,
Al Hanoof Khalid Al Hazaani,no logo: individual or small local firm,
Al Hosn Gas,source,ADNOC joint venture: own logo or ADNOC?; Will ticked 24 Sep 2026
Al Jalila Children's Speciality Hospital,source,
Al Jamiaa Medical Center,no logo: individual or small local firm,
Al Jazeera,source,
Al Maabar International,no logo: individual or small local firm,
Al Manal Dental Clinic,no logo: individual or small local firm,
Al Marjan Island,source,
Al Mizhar American Academy,no logo: Will unticked,Dubai school
Al Shaali Group,no logo: individual or small local firm,
Al Sulaimi Group,no logo: individual or small local firm,
Al Tamimi & Company,source,
Al Tayer Group,source,
Al Turki Group,source,Saudi group; Will ticked 24 Sep 2026
Al Watania for Industries,source,Saudi industrial group; Will ticked 24 Sep 2026
Al-Ahli Bank of Kuwait,source,
Al-Mahalliyya Public Affairs,no logo: individual or small local firm,
AlGhalia Holding B S C C,no logo: individual or small local firm,
AlUla Development Company,no logo: Will unticked,Saudi developer
Alameda Healthcare,no logo: Will unticked,Egyptian hospital group
Alembic,no logo: individual or small local firm,
Alessia Couture,no logo: individual or small local firm,
Ali & Sons,source,
Ali Bin Ali Group,source,
Alkhabeer Capital,source,Saudi asset manager; Will ticked 24 Sep 2026
Alreemah Realestate Dev.,no logo: individual or small local firm,
Alsayer Group,source,
Altrad,source,
Amcor,source,
Amelia Gundersen-Herman,no logo: individual or small local firm,
American Chamber of Commerce in Belgium,source,
American Chamber of Commerce to the EU,source,
American Hospital Dubai,source,
American University of Culture and Education,no logo: individual or small local firm,
Amfori,source,
Amnesty International,source,
Amonlreizod Nig,no logo: individual or small local firm,
Amrani Consulting Group,no logo: individual or small local firm,
Andritz,source,
Angolan Embassy,source,Angola government; Will ticked 24 Sep 2026
Apoyo al Desarrollo Mexicano,no logo: individual or small local firm,
Arab Petroleum Investments Corporation (APICORP),source,
Arabian Anti-Piracy Alliance,no logo: individual or small local firm,
Arabian Drilling Company,source,
Arena Italia SPA,source,arena
Ares Trading,no logo: Will unticked,Merck KGaA's Swiss unit
Argaam,source,
Argent Foods,no logo: individual or small local firm,
Artelier Lifestyle,no logo: individual or small local firm,
Aspiriti,no logo: individual or small local firm,
Association of Serbian Banks,no logo: Will unticked,trade body
Association of University Directors of Estates (AUDE),source,
Astrea Academy Trust,no logo: Will unticked,UK school trust
Atelier Luxury Gulf,no logo: individual or small local firm,
Atheeb Group,no logo: Will unticked,Saudi group
Atlantic Energy Drilling Concept Nigeria,no logo: individual or small local firm,
Atlantis the Palm,source,
Atradius,source,
Audiotech,no logo: individual or small local firm,
Aurora Advertising,no logo: individual or small local firm,
Australian High Commission UK,source,Australian Government
Automotive and Machinery Trading Centre,no logo: individual or small local firm,
Avaya,source,
Averroes Business Advisory and Services,no logo: individual or small local firm,
Avira,no logo: individual or small local firm,
Awal IT Services,no logo: individual or small local firm,
Awqaf Investment Company,no logo: individual or small local firm,
Azerfon,source,Nar (not Azercell)
Azuka Eluchie,no logo: individual or small local firm,
B. Braun,source,
B.C. Office of the Human Rights Commissioner,source,Canadian provincial office; Will ticked 24 Sep 2026
B.T.Red International,no logo: individual or small local firm,
BAA Heathrow,source,Heathrow (current mark)
BEEAH,source,Sharjah BEEAH
BESST,no logo: individual or small local firm,
BG Tanzania,no logo: brand no longer trades,"BG Group, bought by Shell"
BIPA,source,
BOC,source,
BPG Cohn & Wolfe,no logo: Will unticked,WPP Gulf agency
BSA Ahmad Bin Hezeem & Associates,source,
BUZ,no logo: individual or small local firm,
BVBA Cogent,no logo: individual or small local firm,
Badak NGL,source,Indonesian LNG plant; Will ticked 24 Sep 2026
Badr Saud Salam,no logo: individual or small local firm,
Bahrain Chamber of Commerce and Industry,source,
Bahrain Court of the Crown Prince,source,
Bahrain Economic Development Board (EDB),source,
Bahrain Education and Training Quality Authority (BQA),source,
Bahrain GHQ Defense Force,source,
Bahrain National Holding,source,Bahrain insurer; Will ticked 24 Sep 2026
Bahrain Quality Assurance Authority for Education and Training,source,current mark BQA
Baitau Partners,no logo: individual or small local firm,
Banaja Holdings,no logo: individual or small local firm,
Banawi Industrial Group,no logo: individual or small local firm,
Bank al Etihad,source,
Bank of America,source,
Bard,no logo: brand no longer trades,bought by BD
BaseN Corporation,no logo: individual or small local firm,
Bates Pan Gulf,no logo: brand no longer trades,"WPP agency, brand retired"
Baxter Healthcare,source,
Bayanat Airports Engineering and Supplies,no logo: individual or small local firm,
Bazaarvoice,source,
Belhasa Recruitment Services,no logo: individual or small local firm,
Bell Pottinger Middle East,no logo: brand no longer trades,collapsed 2017
Bellenden,no logo: individual or small local firm,
Benmar,no logo: individual or small local firm,
Benue State House of Assembly,no logo: individual or small local firm,
Berryworld Ltd T/A Berryworld Group,no logo: Will unticked,"UK berry grower, mid-sized"
Bin Farooq,no logo: individual or small local firm,
Bios ME,no logo: individual or small local firm,
BirdLife Europe,source,
Bishtar az yek,no logo: individual or small local firm,
Blevins Franks Financial Management,no logo: Will unticked,expat tax adviser
Blue Tangerine Marketing Management,no logo: individual or small local firm,
Bokhtar Operating Company,no logo: individual or small local firm,
BookingSuite,no logo: brand no longer trades,folded into Booking.com
Bost (Ghana),source,
Botswana Public Officers Pension Fund,source,
Breast International Group (BIG),source,
Bridgeworld Communications Company,no logo: individual or small local firm,
Brinks Integrated,no logo: individual or small local firm,
British Association of Dermatologists,source,
British College of Osteopathic Medicine,source,UK college; Will ticked 24 Sep 2026
British Lung Foundation,source,successor Asthma + Lung UK
Bruegel,source,
Brunei Civil Service Institute,source,Brunei government; Will ticked 24 Sep 2026
Bubez Plaiz,no logo: individual or small local firm,
Bulgaria Council of Ministers,source,
Bunduq,source,Abu Dhabi offshore oil company; Will ticked 24 Sep 2026
Bureau International des Expositions (BIE),source,
Bureau Telecommunications and Post St Maarten,no logo: Will unticked,St Maarten regulator
Burson-Marsteller,no logo: brand no longer trades,merged into Burson
Business Incubators and Accelerators Company,no logo: Will unticked,Saudi company
C&C Alpha Group,no logo: individual or small local firm,
CA IB,no logo: individual or small local firm,
CBPR,no logo: individual or small local firm,
CCT Services,no logo: individual or small local firm,
CDCOM,no logo: individual or small local firm,
CEC Consulting,no logo: individual or small local firm,
CGI (Philippines),source,CGI
CITC,source,current mark CST
CMK Mammoth Gulf,no logo: individual or small local firm,
CNOOC,source,CNOOC
CPP Investment Board,source,
CSR Partnership,no logo: individual or small local firm,
Cairn India,source,merged into Vedanta; Will ticked 24 Sep 2026
Calgary Foundation,no logo: Will unticked,Canadian community foundation
Cambridge Consultants,source,
Camfil,source,
Canadian Business Council,no logo: Will unticked,which council is unclear
Canadian Embassy Croatia,source,Canada government; Will ticked 24 Sep 2026
Canyon Ranch Spa Club,source,Canyon Ranch
Capability Development Company,no logo: individual or small local firm,
Capital Club,source,Dubai business club; Will ticked 24 Sep 2026
Capital MSL,no logo: individual or small local firm,
Capital Market Advisory Council,no logo: Will unticked,"Rwanda, now Capital Market Authority"
Capital Markets Authority Kenya,source,
Cardinal Marine Experts (LLC),no logo: individual or small local firm,
Caritas,source,
Carrier to Carrier Telecom,no logo: individual or small local firm,
Cartesian,no logo: Will unticked,UK telecoms consultancy
Caspian Training Group,no logo: individual or small local firm,
Catholic Relief Services,source,
Ccf,no logo: individual or small local firm,
Central Arriyadh Development Company (CADC),source,Riyadh developer; Will ticked 24 Sep 2026
Central Bank of Kenya,source,
Central Bank of Oman,source,
Central Bank of the Bahamas,source,
Centre Hospitalier Emile Mayrisch,no logo: Will unticked,Luxembourg hospital
Centre Stage Arts,no logo: individual or small local firm,
"Centre for Solid Minerals Research and Development, Kaduna Polytechnic",no logo: individual or small local firm,
Chalhoub Group,source,
Charcoalblue,no logo: Will unticked,theatre consultancy
Charles Obeng-Sarpong,no logo: individual or small local firm,
Chartered Institute of Legal Executives,source,
Chartered Institution of Building Services Engineers (CIBSE),alias added,cibse.png
Chelsea Pensioner (RH),source,Royal Hospital Chelsea
Chiesi Group,source,
Cicero & Bernay Public Relations,no logo: individual or small local firm,
Cicero Consulting,source,UK public affairs firm; Will ticked 24 Sep 2026
Cigna International Health Services,source,Cigna
Cimabel,no logo: individual or small local firm,
Citadele Banka,source,
CitiBusiness,source,parent Citi
Citruss TV,no logo: Will unticked,UAE shopping channel
City FM 105.1,no logo: individual or small local firm,
City University of London,source,"successor City St George's, University of London"
City of London Corporation,source,
City of San Francisco Department of the Environment,source,
City of Sioux Falls,no logo: Will unticked,US city
Civil Aviation Authority of Zimbabwe,source,
Claire'z Marketing and PR Agency,no logo: individual or small local firm,
Clarksons,source,
Clerkenwell Partners,no logo: individual or small local firm,
Cleveland Clinic,alias added,cleveland-clinic-abu-dhabi.png
Cleveland Clinic Foundation,source,Cleveland Clinic
Climate Action Europe,no logo: Will unticked,name unclear (CAN Europe?)
Clinton Street Baking Company,no logo: individual or small local firm,
College of the North Atlantic,no logo: Will unticked,now University of Doha for Science and Technology
Commercial Agriculture Development Office,no logo: individual or small local firm,
Commercial Bank of Dubai,source,
Communication ON,no logo: individual or small local firm,
Communication and Information Technology Commission (CITC),source,current mark CST
Communications Commission of Kenya,source,current mark Communications Authority of Kenya
Complete International Company,no logo: individual or small local firm,
Comprehensive Agriculture and Rural Development,no logo: individual or small local firm,
Concorde El Salam Hotels,source,Egyptian hotel group; Will ticked 24 Sep 2026
Construction Safety UK,no logo: individual or small local firm,
Continental,source,
Conversis,no logo: individual or small local firm,
Corlido,no logo: individual or small local firm,
Covenant Christian Centre,no logo: individual or small local firm,
Creative Business Management Romania,no logo: individual or small local firm,
Crest Technologies,no logo: individual or small local firm,
Cristal,no logo: brand no longer trades,bought by Tronox
Crystal Communications,no logo: individual or small local firm,
Crystal Fountains,no logo: individual or small local firm,
Cyber NG,no logo: individual or small local firm,
Cybertill,no logo: Will unticked,UK retail software firm
Czech Agriculture and Food Inspection Authority,no logo: Will unticked,Czech regulator
Cécile Philippo,no logo: individual or small local firm,
D&V Creations,no logo: individual or small local firm,
DAI,source,
DECIEM,source,
DEWA,source,
DFE Pharma,source,
DGSA Partners,no logo: individual or small local firm,
DHAM FZ,no logo: individual or small local firm,
DHR Communication,no logo: individual or small local firm,
DIFC Courts,source,own logo or DIFC?; Will ticked 24 Sep 2026
DIGITALEUROPE,source,
DLSM,no logo: individual or small local firm,
DMCC,source,
DMG Events,source,
DOOR International,no logo: individual or small local firm,
DSC Decision Support Center,source,same body as above; Will ticked 24 Sep 2026
DSM Sinochem Pharmaceuticals (DSP),source,current mark Centrient
DSOA,source,Dubai Silicon Oasis
DUCAB,source,
DUQM Refinery,source,current mark OQ8
Daarsat Children's Channels,no logo: individual or small local firm,
Daleel Petroleum,source,Oman oil producer; Will ticked 24 Sep 2026
Damas,source,
Damu JSC Entrepreneurship Development Fund,no logo: Will unticked,Kazakh government fund
Dana Gas,source,
Danish Embassy UK,source,Denmark government; Will ticked 24 Sep 2026
Dar Abdullah Real Estate Company,no logo: individual or small local firm,
Dar Al-Hekma University,source,
Dar al Omran,no logo: individual or small local firm,
DeLaval International,source,
Debiopharm,source,
Debra,source,
Decision Support Centre (DSC),source,Saudi royal court centre; Will ticked 24 Sep 2026
Dedrone,source,
Delivery Hero,source,
Delta Partners,source,
Department for International Development (DFID),alias added,fcdo.png
Department of Petroleum Resources,no logo: Will unticked,"Nigeria, merged into NUPRC"
Deutsche Post,source,
Dhahran British Grammar School International Schools Group,no logo: Will unticked,ISG schools
Diamond Light Source,source,
Dirco,source,
Directors UK,source,
Diriyah Gate Development Authority,source,current mark Diriyah Company
Discovery Communications Europe,source,now Warner Bros. Discovery; Will ticked 24 Sep 2026
Dogs Trust,source,
Doha International Airport,source,successor Hamad International Airport
Dolphin Energy,source,
Drydocks World,alias added,dp-world.png
Dubai Air Navigation Services (DANS),source,
Dubai Airports,source,
Dubai Aviation Engineering Projects,source,Dubai government airport projects body; Will ticked 24 Sep 2026
Dubai Cares,source,
Dubai Community Development Authority,source,
Dubai Customs,source,
Dubai Data and Statistics Establishment,source,
Dubai Department of Economic Development (DED),source,successor Dubai Department of Economy and Tourism
Dubai Department of Tourism and Commerce Marketing,source,successor Dubai Department of Economy and Tourism
Dubai Executive Council,source,
Dubai Festival City Shopping Centres Hotels,alias added,al-futtaim.png
Dubai Financial Services Authority (DFSA),source,
Dubai Holding,source,
Dubai International Arbitration Centre (DIAC),source,
Dubai Knowledge Village,alias added,tecom.png
Dubai Ladies Club,no logo: Will unticked,Dubai club
Dubai Legal Affairs Department,source,
Dubai Multi Commodities Centre,source,DMCC
Dubai Petroleum Establishment,source,
Dubai SME,source,
Dubai Silicon Oasis Authority,source,Dubai Silicon Oasis
Dunya Travel,no logo: individual or small local firm,
Dutch Embassy Romania,source,Netherlands government; Will ticked 24 Sep 2026
EC Harris,no logo: brand no longer trades,bought by Arcadis
EDB Bahrain,source,
EHL,source,
EIF Executive Secretariat at the WTO,no logo: Will unticked,WTO trade programme
EITI Tanzania Secretariat,no logo: Will unticked,national EITI office
ELEXON,source,
EMPOWER,source,
EPFL P-Mediacom,source,EPFL
EQUATE Petrochemical Company,source,
ERCA,source,"Saudi, which body is unclear; Will ticked 24 Sep 2026"
ERTICO-ITS Europe,source,
EU Mission to Bosnia,alias added,eeas.png
EUPOL COPPS,alias added,eeas.png
EUROCITIES,source,
Easa Saleh Al Gurg Group,source,
Ecobank,source,
Ecobrand,no logo: individual or small local firm,
Ecocube,no logo: individual or small local firm,
Economic Commission for Africa,alias added,united-nations.png
Education For Employment-Jordan,no logo: Will unticked,Jordan branch of EFE
Ejadah Asset Management Group,no logo: individual or small local firm,
El-Khayyat Ceramics,no logo: individual or small local firm,
Electricity Company of Ghana,source,
Electronics for Imaging,source,
Elfin Consulting,no logo: individual or small local firm,
Elite Business Services,no logo: individual or small local firm,
Emerald Energy Resources,no logo: individual or small local firm,
Emirates Competitiveness Council (ECC),no logo: brand no longer trades,"UAE body, closed"
Emirates Diplomatic Academy,source,current mark Anwar Gargash Diplomatic Academy
Emirates Foundation,source,
Emirates Transport,source,
Emma-Jane Martin,no logo: individual or small local firm,
Endava (UK),source,
Eneco UK,source,
Enel,source,
Energiebedrijven Suriname,alias added,ebs-suriname.png
Enginegroup,no logo: Will unticked,UK marketing group
Enterprise Estonia,source,
Envirowise,no logo: brand no longer trades,"UK programme, closed"
Ep,no logo: individual or small local firm,
Eskanbank,no logo: individual or small local firm,
Estuary Housing Association,no logo: individual or small local firm,
Ethara,source,
Etihad Airways,source,
Eu-LISA,source,
Euler Hermes,alias added,allianz.png
Eurail Group G.I.E.,source,
Euro RSCG Dubai,source,current mark Havas
Eurofighter,source,
European Aluminium Association,source,
European Banking Authority (EBA),source,
European Centre for Development Policy Management,source,
European Centre for the Development of Vocational Training (Cedefop),source,
European Chemicals Agency (ECHA),source,
European Committee of the Regions (CoR),source,
European Council on Refugees and Exiles (ECRE),source,
European Housing Association,no logo: individual or small local firm,
European Investment Bank,source,
European Lamp Companies Federation (ELC),source,now LightingEurope; Will ticked 24 Sep 2026
European Petrochemical Association (EPCA),source,
European Regions Research and Innovation Network (ERRIN),source,
European Union Agency for Cybersecurity (ENISA),source,
European Union Drugs Agency (EUDA),source,
European Union Institute for Security Studies (EUISS),source,
Eventex,no logo: individual or small local firm,
Eventful,no logo: individual or small local firm,
Evoke MEA FZ,no logo: individual or small local firm,
Excellence Business Solutions Company for Business Services,no logo: individual or small local firm,
Explorer Publishing & Distribution,no logo: individual or small local firm,
Expressions Arabia Language Institute,no logo: individual or small local firm,
ExtraCake P.R.A,no logo: individual or small local firm,
ExxonMobil,source,
Eyezone Institute for Opticianry,no logo: individual or small local firm,
F&E Aerospace,source,Dubai aircraft interiors firm; Will ticked 24 Sep 2026
FDA Image & Etiquette,no logo: individual or small local firm,
FEEL,no logo: individual or small local firm,
FLAPP,no logo: individual or small local firm,
FMDQ OTC Securities Exchange,source,
Falcon and Associates,source,Dubai government investment arm; Will ticked 24 Sep 2026
Falcor Engineering and Contracting Services,no logo: individual or small local firm,
Famfa Oil,source,Nigerian oil company; Will ticked 24 Sep 2026
Family Business Council Gulf,no logo: Will unticked,Gulf members' body
"Farouk, Maamoun Mohammed Said Tamer Industries Holding",source,Saudi Tamer group; Will ticked 24 Sep 2026
Federal University of Technology Akure,source,
Feedzai,source,
Ferrexpo Yeristovo Mining,source,Ferrexpo
Fiad,no logo: individual or small local firm,
Fidelity Bank of Ghana,source,
Fileminders,no logo: individual or small local firm,
Finland Economic Information Office (Finnfacts),no logo: Will unticked,Finnish business information office
Fireeye International,no logo: brand no longer trades,now Trellix
First Bank of Nigeria,source,
First Gulf Bank,source,successor First Abu Dhabi Bank
Fitesa,no logo: Will unticked,nonwovens maker
Flexport Group,source,
FocusDirect,no logo: individual or small local firm,
Foreign Trade Association,source,renamed amfori
Fortum,source,
Forum Tours Travel and Events,no logo: individual or small local firm,
Foundation for Partnership Initiatives in the Niger Delta (PIND),no logo: Will unticked,Nigerian foundation
Free Zones Authority of Ajman,source,Ajman Free Zone
Freelance,no logo: individual or small local firm,
Fundament Capital Investment Management,no logo: individual or small local firm,
Fusion For Energy,source,
GARMCO,source,
GASAL,source,Qatar industrial gases company; Will ticked 24 Sep 2026
GDC Middle East,no logo: individual or small local firm,
GEMS World Academy,alias added,gems-education.png
GFH Financial Group,source,
GRID-Arendal,source,
GRS,source,"UK, which firm is unclear; Will ticked 24 Sep 2026"
GTI Fujairah,no logo: individual or small local firm,
Gabor Petroczi-Farkas,no logo: individual or small local firm,
Gatsby Charitable Foundation,source,
Gazprom Neft Middle East,source,Gazprom Neft
Gemalto Arabia Company,no logo: brand no longer trades,bought by Thales
General Organization for Social Insurance (GOSI),source,
Generations for Peace,source,
Genzyme,no logo: brand no longer trades,folded into Sanofi
George Bateman & Son,no logo: Will unticked,UK brewer
Georgia International Education Center,no logo: individual or small local firm,
Germanos Telecom,no logo: Will unticked,"Greek phone retailer, since absorbed"
Getin Bank,no logo: brand no longer trades,now VeloBank
Ghana Chamber of Mines,source,
Ghana Energy Commission,source,
Ghana National Petroleum Corporation,source,
Ghana Public Utilities Regulatory Commission,source,
Ghana Volta River Authority,source,
Glaenergy,no logo: individual or small local firm,
Global Advocates and Legal Consultants,no logo: individual or small local firm,
Global Biodiversity Information Facility (GBIF),source,
Global Development Group,no logo: individual or small local firm,
Global Geophysical Services,source,seismic services firm; Will ticked 24 Sep 2026
Global Touch Management & Consultancy,no logo: individual or small local firm,
Goodyear,source,
Government House Press Unit,no logo: individual or small local firm,
Government of Thailand,source,
Graphitech,no logo: individual or small local firm,
Green Party of Ireland,source,
Group Five,source,
GroupCentury,no logo: individual or small local firm,
GuarantCo Management Company,no logo: Will unticked,infrastructure guarantee fund
Guerbet,source,
Guernsey Office of the Data Protection Commissioner,no logo: Will unticked,Guernsey regulator
Gul-E-Zehra Abbas,no logo: individual or small local firm,
Gulf Business Network Training Center (GBNTC),no logo: individual or small local firm,
Gulf Catering Company for General Trade and Contracting,no logo: individual or small local firm,
Gulf Finance House,source,GFH
Gulf Medical Company,source,Saudi medical firm; Will ticked 24 Sep 2026
Gulf Petrochemicals and Chemicals Association (GPCA),source,
GulfDrug,source,UAE pharmaceutical distributor; Will ticked 24 Sep 2026
Gw Pharmaceuticals,no logo: brand no longer trades,bought by Jazz Pharmaceuticals
HES-SO Valais-Wallis,source,
HKA,source,
HMR Environmental Engineering Consultants,no logo: individual or small local firm,
HRA Pharma UK & Ireland,no logo: Will unticked,bought by Perrigo
HYCM,no logo: Will unticked,trading broker
Hachette,alias added,hachette-uk.png
Hamad International Airport,source,
Hamilton First and Training,no logo: individual or small local firm,
Hamled,no logo: individual or small local firm,
Hanover Communications Middle East,source,
Harakat-Afghanistan Investment Climate Facility Organization,no logo: individual or small local firm,
Harman International Romania,source,Harman
Hay Group,no logo: brand no longer trades,bought by Korn Ferry (your earlier ruling)
Haya Cultural Center,no logo: Will unticked,Amman children's cultural centre
Haya Water,alias added,nama.png
Headquarters Nigerian Air Force,source,
Heads of Communication and Information Network (HCIN),no logo: individual or small local firm,
Hellenic Telecomms & Post Comm,source,
Hemsley Fraser,source,
Higher Colleges of Technology UAE,source,
Hitachi Energy Holdings,source,
Hospira,no logo: brand no longer trades,bought by Pfizer
House PR,no logo: individual or small local firm,
House of Representatives Thailand,source,
IAPB,source,
"IDH, The Sustainable Trade Initiative",source,
IEC,source,
IFT,no logo: individual or small local firm,
IMO,source,"Saudi, which organisation is unclear; Will ticked 24 Sep 2026"
INDEVCO,no logo: Will unticked,Lebanese industrial group
INTERACT ENPI,no logo: individual or small local firm,
INTERREG IVC,source,EU programme; Will ticked 24 Sep 2026
IOTA Nigeria,no logo: individual or small local firm,
ITP Media Group,source,
Idama Facilities Management Solutions,source,UAE facilities firm; Will ticked 24 Sep 2026
Imperial College Healthcare Charity,source,UK hospital charity; Will ticked 24 Sep 2026
Independent Evaluation,no logo: individual or small local firm,
Index on Censorship,source,
Industrialization & Energy Services Company (TAQA),source,"Saudi TAQA, not Abu Dhabi TAQA"
Information Resources (UK),no logo: brand no longer trades,"IRI, now Circana"
Information Technology Industry Development Agency,source,
Ingersoll Rand,source,
Initiatives and Missions affairs office,no logo: individual or small local firm,
Injazat,source,
Instarmac Group,no logo: individual or small local firm,
Institut Perkhidmatan Awam,source,INTAN
Instruct-ERIC,no logo: Will unticked,EU research infrastructure
Integra International,no logo: individual or small local firm,
Integrated Telecom Company,no logo: Will unticked,Saudi telecom (Salam)
Intelligent Interactive,no logo: individual or small local firm,
Inter-University Council for East Africa (IUCEA),source,
Intermark Network,no logo: individual or small local firm,
Intermass Engineering & Contracting,no logo: individual or small local firm,
International Centre for Training and Development,no logo: individual or small local firm,
International Chamber of Commerce,source,
International Criminal Court (ICC),source,
International Dairy Association,no logo: Will unticked,"Belgium, which body is unclear"
International Development Law Organization,source,
International Federation of Library Associations and Institutions,source,
International Federation or Pharmaceutical Manufacturers and Association,source,IFPMA
International Fund for Houbara Conservation,source,
International Iron and Steel Institute (IISI),source,current mark worldsteel
International Public Relations Association (IPRA),source,
International Relations Centre (IRC) Georgia,no logo: individual or small local firm,
International School of Amsterdam,source,school; Will ticked 24 Sep 2026
International Seed Federation (ISF),source,
International Systems Engineering,no logo: individual or small local firm,
Invacare UK,source,
Invest AD,source,
Ireland Department of Justice,source,
Irena,source,
Ivoclar Vivadent Marketing,source,Ivoclar
J. Walter Thompson MENA,no logo: brand no longer trades,merged into VML
J.A. Demars,no logo: individual or small local firm,
JMS Yachting,no logo: individual or small local firm,
JP Communications,no logo: individual or small local firm,
Janus Continental Group (JCG),no logo: individual or small local firm,
Jeddah Airport Company (JEDCO),source,Jeddah airport operator; Will ticked 24 Sep 2026
Jeddah Chamber of Commerce and Industry,source,
Jenni Perry Communications Trainer and Consultant,no logo: individual or small local firm,
Jessica Robertson Unity resources,no logo: individual or small local firm,
Jetstar Airways Pty,source,
Jim Roberts Consulting,no logo: individual or small local firm,
Jobsite UK Worldwide,no logo: Will unticked,"UK job board, since folded into Totaljobs"
Joint Allocation Office (JAO),no logo: Will unticked,European power auction office
Jones-Mensah & Co,no logo: individual or small local firm,
Jordan Executive Privatization Commission,no logo: brand no longer trades,closed
Jordan Office of Her Majesty Queen Rania Al Abdullah,source,own logo or Royal Hashemite Court?; Will ticked 24 Sep 2026
Jordan River Foundation,source,
Judicial Service of Ghana,source,
Juma Abdulla Alhaj Alali,no logo: individual or small local firm,
Jusoor Charity Foundation,no logo: individual or small local firm,
Just BA,no logo: individual or small local firm,
Justice Institute of British Columbia,source,
KAHRAMAA,source,
KANCOR,no logo: individual or small local firm,
KAPSARC,source,
KIMEP University,source,
KOSTT,source,
KPI,alias added,kuwait-petroleum-international.png
Kaduna State Water Corporations,no logo: individual or small local firm,
Kafaat Business Solutions,no logo: individual or small local firm,
Karachaganak Petroleum Operating (KPO),source,
Kelkoo,source,shopping comparison site; Will ticked 24 Sep 2026
Kentz,no logo: brand no longer trades,bought by SNC-Lavalin
Kenya Airports Authority,source,
Kenya ICT Authority (ICTA),source,
Kenya Insurance Regulatory Authority,source,
Kenya Office of the Director of Public Prosecutions,source,
Kenya Power and Lighting Company,source,
